GIS_X좌표,GIS_Y좌표,경도,위도
203672.7963,544819.5166,127.04257467015763,37.95606660302001
204086.23,545674.77,127.04728367505248,37.96377008234016
205250.73,545167.97,127.06053158276687,37.95919828371249
205702.2559,544627.7565,127.06566522225145,37.95432866117012
202013.5147,545584.4746,127.02369672275664,37.962963394364614
201956.95,546374.04,127.0230551213808,37.97007692052304
202963.25,543913.62,127.0344975011374,37.94790765707364
205442.3099,544585.098,127.06270719739067,37.95394591364736
203587.61,543823.62,127.04160051062793,37.9470946158727
204325.71,546024.96,127.05001093948844,37.966923946490766
203436.6,547276.54,127.03989864402783,37.97820348760268
203466.4291,547546.1345,127.04023942979047,37.98063221987117
205186.2025,545837.0143,127.05980209270984,37.96522625114051
204812.46,541630.65,127.05552122843818,37.927331898016575
205667.7647,541951.5532,127.06525195489499,37.93021815327047
204123.43,545113.01,127.04770382810455,37.958708866985894
203686.15,547411.38,127.04273966251519,37.9794173339399
202589.1394,545345.4617,127.03024620185133,37.9608086450111
202795.09,544008.88,127.03258467731722,37.948766403046605
205024.2594,545319.0236,127.0579556357112,37.960560431175765
202499.49,545400.8,127.02922625412151,37.96130744760437
206034.7834,544162.4902,127.06944491283832,37.95013482137679
202460.4209,547301.731,127.02878800809424,37.978433538581534
204948.66,547164.56,127.05710791281341,37.97718776025157
203042.98,544281.34,127.03540612394193,37.95122029692696
202636.34,548162.03,127.03079337574682,37.98618370085775
204825.74,545404.44,127.05569722505024,37.96133103255814
205199.6,545429.97,127.0599516488982,37.9615590038057
208480.02,541457.88,127.09723400068864,37.92574882822999
202308.87,545027.23,127.02705597900061,37.95794234189228
203675.62,545538.79,127.04261040845559,37.962546725796265
203452.8923,546592.0293,127.04008085528247,37.97203649633785
202888.88,545211.71,127.03365647339825,37.95960275696925
208532.7307,543464.9076,127.09785711031925,37.94383026396147
202603.99,546116.89,127.03041791154476,37.96775861058264
202420.65,546978.24,127.02833428064702,37.97551923065733
204445.23,544782.43,127.05136352481965,37.955729085222295
204186.45,545839.48,127.04842508375708,37.96525355005005
201922.48,546616.26,127.02266345786612,37.97225921491174
207282.9752,543599.965,127.08364058207502,37.94505781555707
202682.98,545636.63,127.03131508850565,37.96343159475018
207543.94,542826.75,127.0866014756699,37.93808958222267
202298.96,544892.79,127.02694279861805,37.95673115837606
205735.6092,544423.87,127.06604311494353,37.952491582380844
205023.63,545584.54,127.05795030365908,37.96295254412024
203336.6073,542880.1128,127.0387405556049,37.93859521067776
203123.5247,547406.9416,127.03633582422701,37.97937941621879
201892.767,547642.5451,127.02232790481048,37.98150533677681
203820.45,547018.71,127.04426621822711,37.97587912655791
203630.95,547218.09,127.042110415605,37.97767615474129
204898.2902,547292.9914,127.05653548306458,37.97834509998483
204325.71,546024.96,127.05001093948844,37.966923946490766
203151.99,543985.89,127.03664513812399,37.94855813767633
203217.79,546515.38,127.03740484519071,37.97134678923526
203036.6019,544545.6931,127.0353346472089,37.9536019513596
202607.4514,548006.8728,127.03046398569752,37.98478593394937
203369.41,547242.75,127.03913374256875,37.977899311995145
205026.8,544842.67,127.05798126086162,37.95626881562773
204507.97,544947.83,127.05207842514898,37.95721891581467
202169.82,545545.69,127.02547528449442,37.96261362473891
204599.1668,544965.7342,127.05311623022607,37.95737976938596
203582.33,545598.78,127.04154911492772,37.963087557926976
202277.57,545966.25,127.026702712409,37.96640230797489
202363.72,545668.12,127.02768214896815,37.96371616034678
209138.1152,540553.769,127.1047076245184,37.91759707475305
204477.01,545803.59,127.05173139110971,37.96492884304036
202972.35,544048.03,127.03460157613429,37.94911856741844
203019.84,544576.86,127.03514405743657,37.95388279755243
202244.8201,546133.2651,127.02633052380772,37.967907070797445
209747.33,540555.78,127.11163593602414,37.91760891511073
204203.7786,546492.6859,127.04862603921596,37.97113837537441
203474.05,546881.73,127.04032302216787,37.974646405116324
202735.6449,547077.7246,127.03191974295966,37.9764146411906
205636.99,546099.44,127.06493401404177,37.96758786092598
205404.7777,545653.0742,127.06228807765928,37.963567827358425
204360.75,546066.55,127.05040994664091,37.96729847682996
203634.88,546293.71,127.04215055692995,37.96934816316511
203464.44,544541.13,127.04020258816196,37.95355934186611
202237.85,546727.18,127.02625299639087,37.97325782242718
202424.44,547360.02,127.02837866903369,37.978958772888014
202074.9,546402.89,127.02439754278372,37.970336584514236
204734.79,544262.12,127.05465487105921,37.95104002232168
203233.18,547642.31,127.03758496108551,37.98149953212188
203968.9,544792.17,127.0459437162927,37.95581900625679
202592.14,544252.76,127.03027650963743,37.950964176304794
203031.22,545295.68,127.03527650272927,37.960358812627625
203484.21,545240.85,127.04043085637947,37.959863242659836
203067.2635,544727.415,127.0356842743498,37.95523903522134
209482.5415,541669.9893,127.10863919055514,37.92764996315458
204645.0382,547291.5957,127.05365299426163,37.97833383821604
203718.9272,547072.9589,127.04311101365623,37.976368282633416
203621.12,546960.69,127.04199725977467,37.975357211954545
204646.97,545289.96,127.05366222962334,37.960300569789034
203341.101,544109.6452,127.03879726823766,37.94967242293511
202696.3,546961.59,127.03147151127037,37.97536846996956
205373.82,544492.33,127.06192722839451,37.953110542959834
208820.05,540961.79,127.1010953879655,37.92127618522461
210258.1101,540694.4431,127.11744673383649,37.918852598660614
203414.7435,545168.9346,127.03964006134242,37.95921559552019
204582.56,544267.98,127.0529228880535,37.9510935859848
204206.48,547013.05,127.0486597801964,37.97582645612058
208947.3585,541779.7318,127.10255335457569,37.9286440503882
203127.16,544006.53,127.03636272827876,37.94874417348862
201884.8144,546494.781,127.02223448101837,37.97116485517399
203738.29,544481.6,127.0433181609218,37.95302195367457
203135.19,544294.96,127.03645531800704,37.951342696754864
203506.199,543886.7366,127.04067459572592,37.94766356379583
209352.0965,543168.7876,127.10717482730635,37.94115443290734
203909.27,545694.76,127.04527004505,37.963950943518164
204333.0459,541673.6913,127.05006862876974,37.927722046334786
204300.02,546189.5,127.04971955346328,37.96840645092889
203064.0083,546229.9125,127.03565349818007,37.968775458367844
202704.51,547103.45,127.03156547336647,37.97664649881551
209165.3193,542914.5811,127.10504681668284,37.938866099816366
